2018-08-06 10:39:10.2987 | Debug | Test_MyGroupsFilterChecked_NoneAvailableGroups 
2018-08-06 10:39:10.3076 | Debug | Passed 
2018-08-06 10:39:11.8227 | Debug | CaesarTests.TC_1_03_01 
2018-08-06 10:39:11.8416 | Debug | Test_MyGroupsFilterCheckedUnchecked 
2018-08-06 10:39:11.8526 | Debug | Passed 
2018-08-06 10:39:17.8588 | Debug | CaesarTests.TC_1_04_01 
2018-08-06 10:39:17.8718 | Debug | Test_CursorFocusOutOfMenu_LeftMenuClosed 
2018-08-06 10:39:17.8718 | Debug | Passed 
2018-08-06 10:39:19.9241 | Debug | CaesarTests.TC_1_04_01 
2018-08-06 10:39:19.9321 | Debug | Test_CursorToLeftBorder_LeftMenuOpened 
2018-08-06 10:39:19.9321 | Debug | Passed 
2018-08-06 10:39:26.2593 | Debug | CaesarTests.TC_1_04_02 
2018-08-06 10:39:26.2593 | Debug | Test_SignInAsCoordinatorOrAdmin_CheckGroup_FourButtonsAvailable("dmytro","1234") 
2018-08-06 10:39:26.2813 | Debug | Passed 
2018-08-06 10:39:28.4922 | Debug | CaesarTests.TC_1_04_02 
2018-08-06 10:39:28.5012 | Debug | Test_SignInAsCoordinatorOrAdmin_CheckGroup_FourButtonsAvailable("artur","1234") 
2018-08-06 10:39:28.5095 | Debug | Passed 
2018-08-06 10:39:30.4689 | Debug | CaesarTests.TC_1_04_02 
2018-08-06 10:39:30.4779 | Debug | Test_SignInAsCoordinatorOrAdmin_TwoButtonsAvailable("dmytro","1234") 
2018-08-06 10:39:30.4779 | Debug | Passed 
2018-08-06 10:39:32.5453 | Debug | CaesarTests.TC_1_04_02 
2018-08-06 10:39:32.5453 | Debug | Test_SignInAsCoordinatorOrAdmin_TwoButtonsAvailable("artur","1234") 
2018-08-06 10:39:32.5627 | Debug | Passed 
2018-08-06 10:39:35.2352 | Debug | CaesarTests.TC_1_04_02 
2018-08-06 10:39:35.2511 | Debug | Test_SignInAsTeacher_CheckGroup_OneButtonsAvailable("sasha","1234") 
2018-08-06 10:39:35.2621 | Debug | Passed 
2018-08-06 10:39:37.5646 | Debug | CaesarTests.TC_1_04_02 
2018-08-06 10:39:37.5855 | Debug | Test_SignInAsTeacher_OneButtonsAvailable("sasha","1234") 
2018-08-06 10:39:37.5946 | Debug | Passed 
2018-08-06 10:39:44.0102 | Debug | CaesarTests.TC_1_04_03 
2018-08-06 10:39:44.0102 | Debug | Test_ClickCancelButton_GroupCreateWindowClosed 
2018-08-06 10:39:44.0382 | Debug | Passed 
2018-08-06 10:39:46.1959 | Debug | CaesarTests.TC_1_04_03 
2018-08-06 10:39:46.2039 | Debug | Test_ClickCreateButton_GroupCreateWindowOpened 
2018-08-06 10:39:46.2128 | Debug | Passed 
2018-08-06 10:39:48.8239 | Debug | CaesarTests.TC_1_04_03 
2018-08-06 10:39:48.8239 | Debug | Test_PressEscKey_GroupCreateWindowClosed 
